"Supercluster"	"Number of reads"	"Automatic_annotation"	"Similarity_hits"	"TAREAN_annotation"	"Clusters"
11	33501	"SIRE"	"                                                | nhits | proportion |                                                                     features
---------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 4667  | 0.14       |                                                                             
 |--organelle                                   | 1     | 3e-05      |                                                                             
 |   '--mitochondria                            | 1     | 3e-05      |                                                                             
 '--repeat                                      | 4666  | 0.14       |                                                                             
     '--mobile_element                          | 4666  | 0.14       |                                                                             
         '--Class_I                             | 4666  | 0.14       |                                                                             
             '--LTR                             | 4666  | 0.14       | LTR/PBS                                                                     
                 |--Ty1_copia                   | 4663  | 0.14       |                                                                             
                 |   |--Ale                     | 34    | 0.001      | 10 (Ty1-INT), 2 (Ty1-PROT), 8 (Ty1-RH), 14 (Ty1-RT),                        
                 |   |--Alesia                  | 8     | 0.00024    | 8 (Ty1-PROT),                                                               
                 |   |--Angela                  | 1     | 3e-05      | 1 (Ty1-RH),                                                                 
                 |   |--Ivana                   | 372   | 0.011      | 2 (Ty1-GAG), 4 (Ty1-INT), 79 (Ty1-PROT), 170 (Ty1-RH), 117 (Ty1-RT),        
                 |   |--SIRE                    | 4240  | 0.13       | 113 (Ty1-GAG), 1383 (Ty1-INT), 273 (Ty1-PROT), 926 (Ty1-RH), 1545 (Ty1-RT), 
                 |   |--TAR                     | 1     | 3e-05      | 1 (Ty1-INT),                                                                
                 |   '--Tork                    | 7     | 0.00021    | 2 (Ty1-PROT), 5 (Ty1-RT),                                                   
                 '--Ty3_gypsy                   | 3     | 8.9e-05    |                                                                             
                     |--non-chromovirus         | 2     | 6e-05      |                                                                             
                     |   '--OTA                 | 2     | 6e-05      |                                                                             
                     |       |--Athila          | 1     | 3e-05      | 1 (Ty3-INT),                                                                
                     |       '--Tat             | 1     | 3e-05      |                                                                             
                     |           '--Ogre        | 1     | 3e-05      | 1 (Ty3-INT),                                                                
                     '--chromovirus             | 1     | 3e-05      |                                                                             
                         '--Tekay               | 1     | 3e-05      | 1 (Ty3-RH),                                                                 "	NA	"77,95,101,163,53"
12	32235	"repeat"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 23071 | 0.72       |         
 |--organelle                                   | 2     | 6.2e-05    |         
 |   '--plastid                                 | 2     | 6.2e-05    |         
 '--repeat                                      | 23069 | 0.72       |         
     '--satellite                               | 23069 | 0.72       |         "	"2 - Putative satellites (low confidence)"	"65,2"
13	30286	"SIRE"	"                                                | nhits | proportion |                                                                     features
---------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 4175  | 0.14       |                                                                             
 |--organelle                                   | 1     | 3.3e-05    |                                                                             
 |   '--plastid                                 | 1     | 3.3e-05    |                                                                             
 '--repeat                                      | 4174  | 0.14       |                                                                             
     '--mobile_element                          | 4174  | 0.14       |                                                                             
         '--Class_I                             | 4174  | 0.14       |                                                                             
             |--LTR                             | 4173  | 0.14       | LTR/PBS                                                                     
             |   |--Ty1_copia                   | 4172  | 0.14       |                                                                             
             |   |   |--Ale                     | 65    | 0.0022     | 23 (Ty1-INT), 23 (Ty1-PROT), 17 (Ty1-RH), 2 (Ty1-RT),                       
             |   |   |--Alesia                  | 1     | 3.3e-05    | 1 (Ty1-PROT),                                                               
             |   |   |--Angela                  | 5     | 0.00016    | 5 (Ty1-INT),                                                                
             |   |   |--Ikeros                  | 1     | 3.3e-05    | 1 (Ty1-INT),                                                                
             |   |   |--Ivana                   | 206   | 0.0068     | 41 (Ty1-PROT), 128 (Ty1-RH), 37 (Ty1-RT),                                   
             |   |   '--SIRE                    | 3894  | 0.13       | 341 (Ty1-GAG), 1064 (Ty1-INT), 244 (Ty1-PROT), 637 (Ty1-RH), 1608 (Ty1-RT), 
             |   '--Ty3_gypsy                   | 1     | 3.3e-05    |                                                                             
             |       '--chromovirus             | 1     | 3.3e-05    |                                                                             
             |           '--Reina               | 1     | 3.3e-05    | 1 (Ty3-INT),                                                                
             '--LINE                            | 1     | 3.3e-05    | 1 (LINE-RT),                                                                "	NA	"109,150,172,40,87"
14	26154	"Retand"	"                                                | nhits | proportion |                                                                                        features
----------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 9964  | 0.38       |                                                                                                
 |--organelle                                   | 5     | 0.00019    |                                                                                                
 |   '--plastid                                 | 5     | 0.00019    |                                                                                                
 '--repeat                                      | 9959  | 0.38       |                                                                                                
     '--mobile_element                          | 9959  | 0.38       |                                                                                                
         '--Class_I                             | 9959  | 0.38       |                                                                                                
             '--LTR                             | 9959  | 0.38       |                                                                                                
                 '--Ty3_gypsy                   | 9959  | 0.38       |                                                                                                
                     '--non-chromovirus         | 9959  | 0.38       |                                                                                                
                         '--OTA                 | 9959  | 0.38       |                                                                                                
                             '--Tat             | 9959  | 0.38       |                                                                                                
                                 |--Ogre        | 49    | 0.0019     | 1 (Ty3-INT), 48 (Ty3-RT),                                                                      
                                 '--Retand      | 9910  | 0.38       | 1194 (Ty3-aRH), 1083 (Ty3-GAG), 2795 (Ty3-INT), 1147 (Ty3-PROT), 1544 (Ty3-RH), 2147 (Ty3-RT), "	NA	"110,135,16"
15	21885	"CRM"	"                                                | nhits | proportion |                                                                                       features
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 6621  | 0.3        |                                                                                               
 '--repeat                                      | 6621  | 0.3        |                                                                                               
     '--mobile_element                          | 6621  | 0.3        |                                                                                               
         '--Class_I                             | 6621  | 0.3        |                                                                                               
             '--LTR                             | 6621  | 0.3        |                                                                                               
                 '--Ty3_gypsy                   | 6621  | 0.3        |                                                                                               
                     '--chromovirus             | 6621  | 0.3        |                                                                                               
                         |--CRM                 | 6619  | 0.3        | 510 (Ty3-CHDCR), 1363 (Ty3-GAG), 1934 (Ty3-INT), 638 (Ty3-PROT), 750 (Ty3-RH), 1424 (Ty3-RT), 
                         '--Tekay               | 2     | 9.1e-05    | 1 (Ty3-INT), 1 (Ty3-RT),                                                                      "	NA	"72,180,45"
16	18524	"Retand"	"                                                | nhits | proportion |                                                                      features
----------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 5500  | 0.3        |                                                                              
 |--organelle                                   | 1     | 5.4e-05    |                                                                              
 |   '--plastid                                 | 1     | 5.4e-05    |                                                                              
 '--repeat                                      | 5499  | 0.3        |                                                                              
     '--mobile_element                          | 5499  | 0.3        |                                                                              
         '--Class_I                             | 5499  | 0.3        |                                                                              
             |--LTR                             | 5498  | 0.3        | LTR/PBS                                                                      
             |   '--Ty3_gypsy                   | 5498  | 0.3        |                                                                              
             |       |--non-chromovirus         | 5461  | 0.29       |                                                                              
             |       |   |--Selgy               | 1     | 5.4e-05    | 1 (Ty3-INT),                                                                 
             |       |   '--OTA                 | 5460  | 0.29       |                                                                              
             |       |       '--Tat             | 5460  | 0.29       |                                                                              
             |       |           |--Ogre        | 80    | 0.0043     | 46 (Ty3-aRH), 3 (Ty3-INT), 31 (Ty3-RT),                                      
             |       |           '--Retand      | 5380  | 0.29       | 708 (Ty3-aRH), 1868 (Ty3-INT), 457 (Ty3-PROT), 1038 (Ty3-RH), 1309 (Ty3-RT), 
             |       '--chromovirus             | 37    | 0.002      |                                                                              
             |           |--chromo-outgroup     | 1     | 5.4e-05    | 1 (Ty3-RH),                                                                  
             |           |--CRM                 | 12    | 0.00065    | 10 (Ty3-INT), 2 (Ty3-RH),                                                    
             |           |--Tekay               | 7     | 0.00038    | 3 (Ty3-INT), 4 (Ty3-RH),                                                     
             |           '--Reina               | 17    | 0.00092    | 16 (Ty3-RH), 1 (Ty3-RT),                                                     
             '--LINE                            | 1     | 5.4e-05    | 1 (LINE-RT),                                                                 "	NA	"94,41"
17	18457	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 1     | 5.4e-05    |         
 '--repeat                                      | 1     | 5.4e-05    |         
     '--rDNA                                    | 1     | 5.4e-05    |         
         '--45S_rDNA                            | 1     | 5.4e-05    |         
             '--25S_rDNA                        | 1     | 5.4e-05    |         "	NA	"113,166,52"
18	18396	"Retand"	"                                                | nhits | proportion |                                                                                      features
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 7285  | 0.4        |                                                                                              
 |--organelle                                   | 1     | 5.4e-05    |                                                                                              
 |   '--plastid                                 | 1     | 5.4e-05    |                                                                                              
 '--repeat                                      | 7284  | 0.4        |                                                                                              
     '--mobile_element                          | 7284  | 0.4        |                                                                                              
         |--Class_I                             | 7282  | 0.4        |                                                                                              
         |   '--LTR                             | 7282  | 0.4        |                                                                                              
         |       '--Ty3_gypsy                   | 7282  | 0.4        |                                                                                              
         |           |--non-chromovirus         | 7281  | 0.4        |                                                                                              
         |           |   '--OTA                 | 7281  | 0.4        |                                                                                              
         |           |       |--Athila          | 1     | 5.4e-05    | 1 (Ty3-RT),                                                                                  
         |           |       '--Tat             | 7280  | 0.4        |                                                                                              
         |           |           |--Ogre        | 40    | 0.0022     | 1 (Ty3-aRH), 3 (Ty3-PROT), 36 (Ty3-RT),                                                      
         |           |           '--Retand      | 7240  | 0.39       | 1013 (Ty3-aRH), 713 (Ty3-GAG), 2370 (Ty3-INT), 497 (Ty3-PROT), 1001 (Ty3-RH), 1646 (Ty3-RT), 
         |           '--chromovirus             | 1     | 5.4e-05    |                                                                                              
         |               '--chromo-outgroup     | 1     | 5.4e-05    | 1 (Ty3-PROT),                                                                                
         '--Class_II                            | 2     | 0.00011    |                                                                                              
             '--Subclass_2                      | 2     | 0.00011    |                                                                                              
                 '--Helitron                    | 2     | 0.00011    | 2 (Helitron-HEL2),                                                                           "	NA	"69,60"
19	16761	"NA"	"                                                | nhits | proportion |                      features
----------------------------------------------------------------------------------------------------
All                                             | 94    | 0.0056     |                              
 |--organelle                                   | 2     | 0.00012    |                              
 |   |--plastid                                 | 1     | 6e-05      |                              
 |   '--mitochondria                            | 1     | 6e-05      |                              
 '--repeat                                      | 92    | 0.0055     |                              
     '--mobile_element                          | 92    | 0.0055     |                              
         '--Class_I                             | 92    | 0.0055     |                              
             '--LTR                             | 92    | 0.0055     |                              
                 '--Ty1_copia                   | 92    | 0.0055     |                              
                     '--TAR                     | 92    | 0.0055     | 30 (Ty1-GAG), 62 (Ty1-PROT), "	NA	"17"
20	14825	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 13    | 0.00088    |         
 '--organelle                                   | 13    | 0.00088    |         
     '--mitochondria                            | 13    | 0.00088    |         "	NA	"25"
21	13992	"Tekay"	"                                                | nhits | proportion |                                                                                 features
---------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1424  | 0.1        |                                                                                         
 '--repeat                                      | 1424  | 0.1        |                                                                                         
     '--mobile_element                          | 1424  | 0.1        |                                                                                         
         '--Class_I                             | 1424  | 0.1        |                                                                                         
             '--LTR                             | 1424  | 0.1        | LTR/PBS                                                                                 
                 '--Ty3_gypsy                   | 1424  | 0.1        |                                                                                         
                     '--chromovirus             | 1424  | 0.1        |                                                                                         
                         |--Chlamyvir           | 2     | 0.00014    | 2 (Ty3-RT),                                                                             
                         |--Tcn1                | 2     | 0.00014    | 2 (Ty3-RT),                                                                             
                         |--Galadriel           | 2     | 0.00014    | 2 (Ty3-RT),                                                                             
                         |--Tekay               | 1417  | 0.1        | 107 (Ty3-CHD), 207 (Ty3-GAG), 563 (Ty3-INT), 85 (Ty3-PROT), 182 (Ty3-RH), 273 (Ty3-RT), 
                         '--Reina               | 1     | 7.2e-05    | 1 (Ty3-RT),                                                                             "	NA	"116,182,433,86"
22	13114	"LTR"	"                                                | nhits | proportion |        features
--------------------------------------------------------------------------------------
All                                             | 9     | 0.00069    |                
 '--repeat                                      | 9     | 0.00069    |                
     '--mobile_element                          | 9     | 0.00069    |                
         '--Class_I                             | 9     | 0.00069    |                
             '--LTR                             | 9     | 0.00069    | LTR/PBS        
                 |--Ty1_copia                   | 7     | 0.00053    |                
                 |   |--SIRE                    | 1     | 7.6e-05    | 1 (Ty1-INT),   
                 |   '--Tork                    | 6     | 0.00046    | 6 (Ty1-INT),   
                 '--Ty3_gypsy                   | 2     | 0.00015    |                
                     '--chromovirus             | 2     | 0.00015    |                
                         |--CRM                 | 1     | 7.6e-05    | 1 (Ty3-CHDCR), 
                         '--Tekay               | 1     | 7.6e-05    | 1 (Ty3-RH),    "	NA	"111,83"
23	12682	"45S_rDNA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 6855  | 0.54       |         
 |--organelle                                   | 13    | 0.001      |         
 |   |--plastid                                 | 1     | 7.9e-05    |         
 |   '--mitochondria                            | 12    | 0.00095    |         
 '--repeat                                      | 6842  | 0.54       |         
     '--rDNA                                    | 6842  | 0.54       |         
         '--45S_rDNA                            | 6842  | 0.54       |         
             |--18S_rDNA                        | 2521  | 0.2        |         
             |--25S_rDNA                        | 4200  | 0.33       |         
             '--5.8S_rDNA                       | 121   | 0.0095     |         "	NA	"128,130,124"
24	12340	"EnSpm_CACTA"	"                                                | nhits | proportion |             features
-------------------------------------------------------------------------------------------
All                                             | 2956  | 0.24       |                     
 '--repeat                                      | 2956  | 0.24       |                     
     '--mobile_element                          | 2956  | 0.24       |                     
         '--Class_II                            | 2956  | 0.24       |                     
             '--Subclass_1                      | 2956  | 0.24       |                     
                 '--TIR                         | 2956  | 0.24       |                     
                     '--EnSpm_CACTA             | 2956  | 0.24       | 2956 (CACTA-TPase), "	NA	"38"
25	12272	"Retand"	"                                                | nhits | proportion |                                                                                    features
------------------------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 4824  | 0.39       |                                                                                            
 '--repeat                                      | 4824  | 0.39       |                                                                                            
     '--mobile_element                          | 4824  | 0.39       |                                                                                            
         '--Class_I                             | 4824  | 0.39       |                                                                                            
             '--LTR                             | 4824  | 0.39       |                                                                                            
                 '--Ty3_gypsy                   | 4824  | 0.39       |                                                                                            
                     |--non-chromovirus         | 4781  | 0.39       |                                                                                            
                     |   '--OTA                 | 4781  | 0.39       |                                                                                            
                     |       |--Athila          | 14    | 0.0011     | 13 (Ty3-GAG), 1 (Ty3-PROT),                                                                
                     |       '--Tat             | 4767  | 0.39       |                                                                                            
                     |           |--Ogre        | 12    | 0.00098    | 6 (Ty3-aRH), 2 (Ty3-GAG), 4 (Ty3-RT),                                                      
                     |           '--Retand      | 4755  | 0.39       | 547 (Ty3-aRH), 402 (Ty3-GAG), 1568 (Ty3-INT), 477 (Ty3-PROT), 714 (Ty3-RH), 1047 (Ty3-RT), 
                     '--chromovirus             | 43    | 0.0035     |                                                                                            
                         '--Tekay               | 43    | 0.0035     | 43 (Ty3-RH),                                                                               "	NA	"114,88"
26	12267	"NA"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 6     | 0.00049    |                  
 |--organelle                                   | 1     | 8.2e-05    |                  
 |   '--mitochondria                            | 1     | 8.2e-05    |                  
 '--repeat                                      | 5     | 0.00041    |                  
     '--mobile_element                          | 5     | 0.00041    |                  
         |--Class_I                             | 4     | 0.00033    |                  
         |   '--LINE                            | 4     | 0.00033    | 4 (LINE-RH),     
         '--Class_II                            | 1     | 8.2e-05    |                  
             '--Subclass_1                      | 1     | 8.2e-05    |                  
                 '--TIR                         | 1     | 8.2e-05    |                  
                     '--EnSpm_CACTA             | 1     | 8.2e-05    | 1 (CACTA-TPase), "	NA	"107,93"
27	12204	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 12201 | 1          |         
 '--organelle                                   | 12201 | 1          |         
     |--plastid                                 | 12148 | 1          |         
     '--mitochondria                            | 53    | 0.0043     |         "	NA	"162,96,148"
28	11946	"Tekay"	"                                                | nhits | proportion |                                     features
-------------------------------------------------------------------------------------------------------------------
All                                             | 960   | 0.08       |                                             
 '--repeat                                      | 960   | 0.08       |                                             
     '--mobile_element                          | 960   | 0.08       |                                             
         '--Class_I                             | 960   | 0.08       |                                             
             '--LTR                             | 960   | 0.08       | LTR/PBS                                     
                 '--Ty3_gypsy                   | 960   | 0.08       |                                             
                     |--non-chromovirus         | 1     | 8.4e-05    |                                             
                     |   '--OTA                 | 1     | 8.4e-05    |                                             
                     |       '--Tat             | 1     | 8.4e-05    |                                             
                     |           '--Ogre        | 1     | 8.4e-05    | 1 (Ty3-aRH),                                
                     '--chromovirus             | 959   | 0.08       |                                             
                         |--Galadriel           | 1     | 8.4e-05    | 1 (Ty3-INT),                                
                         |--Tekay               | 954   | 0.08       | 110 (Ty3-CHD), 621 (Ty3-INT), 223 (Ty3-RH), 
                         '--chromo-unclass      | 4     | 0.00034    | 4 (Ty3-INT),                                "	NA	"132,80"
29	11867	"CRM"	"                                                | nhits | proportion |                                                                  features
------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1386  | 0.12       |                                                                          
 '--repeat                                      | 1386  | 0.12       |                                                                          
     '--mobile_element                          | 1386  | 0.12       |                                                                          
         '--Class_I                             | 1386  | 0.12       |                                                                          
             |--LTR                             | 1385  | 0.12       |                                                                          
             |   '--Ty3_gypsy                   | 1385  | 0.12       |                                                                          
             |       '--chromovirus             | 1385  | 0.12       |                                                                          
             |           |--Tcn1                | 1     | 8.4e-05    | 1 (Ty3-RT),                                                              
             |           |--CRM                 | 1380  | 0.12       | 174 (Ty3-CHDCR), 26 (Ty3-GAG), 732 (Ty3-INT), 352 (Ty3-RH), 96 (Ty3-RT), 
             |           '--Tekay               | 4     | 0.00034    | 4 (Ty3-RH),                                                              
             '--LINE                            | 1     | 8.4e-05    | 1 (LINE-RT),                                                             "	NA	"151,169,97"
30	11653	"Retand"	"                                                | nhits | proportion |                                                    features
----------------------------------------------------------------------------------------------------------------------------------
All                                             | 2539  | 0.22       |                                                            
 |--organelle                                   | 2     | 0.00017    |                                                            
 |   '--plastid                                 | 2     | 0.00017    |                                                            
 '--repeat                                      | 2537  | 0.22       |                                                            
     '--mobile_element                          | 2537  | 0.22       |                                                            
         '--Class_I                             | 2537  | 0.22       |                                                            
             '--LTR                             | 2537  | 0.22       |                                                            
                 '--Ty3_gypsy                   | 2537  | 0.22       |                                                            
                     |--non-chromovirus         | 2525  | 0.22       |                                                            
                     |   |--non-chromo-outgroup | 6     | 0.00052    | 6 (Ty3-RT),                                                
                     |   '--OTA                 | 2519  | 0.22       |                                                            
                     |       |--Athila          | 13    | 0.0011     | 8 (Ty3-GAG), 5 (Ty3-RT),                                   
                     |       '--Tat             | 2506  | 0.22       |                                                            
                     |           |--Ogre        | 16    | 0.0014     | 1 (Ty3-GAG), 15 (Ty3-RT),                                  
                     |           '--Retand      | 2490  | 0.21       | 718 (Ty3-GAG), 848 (Ty3-PROT), 111 (Ty3-RH), 813 (Ty3-RT), 
                     '--chromovirus             | 12    | 0.001      |                                                            
                         |--Tcn1                | 10    | 0.00086    | 10 (Ty3-RT),                                               
                         |--CRM                 | 1     | 8.6e-05    | 1 (Ty3-RH),                                                
                         '--Reina               | 1     | 8.6e-05    | 1 (Ty3-RH),                                                "	NA	"44"
31	11439	"TAR"	"                                                | nhits | proportion |                                                                   features
-------------------------------------------------------------------------------------------------------------------------------------------------
All                                             | 1650  | 0.14       |                                                                           
 '--repeat                                      | 1650  | 0.14       |                                                                           
     '--mobile_element                          | 1650  | 0.14       |                                                                           
         '--Class_I                             | 1650  | 0.14       |                                                                           
             '--LTR                             | 1650  | 0.14       |                                                                           
                 '--Ty1_copia                   | 1650  | 0.14       |                                                                           
                     |--Ivana                   | 7     | 0.00061    | 7 (Ty1-RH),                                                               
                     |--TAR                     | 1593  | 0.14       | 186 (Ty1-GAG), 380 (Ty1-INT), 133 (Ty1-PROT), 360 (Ty1-RH), 534 (Ty1-RT), 
                     '--Tork                    | 50    | 0.0044     | 50 (Ty1-RT),                                                              "	NA	"142,82"
32	10922	"LTR"	"                                                | nhits | proportion |                  features
------------------------------------------------------------------------------------------------
All                                             | 29    | 0.0027     |                          
 |--organelle                                   | 26    | 0.0024     |                          
 |   '--mitochondria                            | 26    | 0.0024     |                          
 '--repeat                                      | 3     | 0.00027    |                          
     '--mobile_element                          | 3     | 0.00027    |                          
         '--Class_I                             | 3     | 0.00027    |                          
             '--LTR                             | 3     | 0.00027    | LTR/PBS                  
                 '--Ty3_gypsy                   | 3     | 0.00027    |                          
                     |--non-chromovirus         | 2     | 0.00018    |                          
                     |   '--OTA                 | 2     | 0.00018    |                          
                     |       '--Athila          | 2     | 0.00018    | 1 (Ty3-INT), 1 (Ty3-RT), 
                     '--chromovirus             | 1     | 9.2e-05    |                          
                         '--Tcn1                | 1     | 9.2e-05    | 1 (Ty3-RT),              "	NA	"49"
33	10191	"NA"	"                                                | nhits | proportion |         features
---------------------------------------------------------------------------------------
All                                             | 5     | 0.00049    |                 
 |--organelle                                   | 2     | 2e-04      |                 
 |   |--plastid                                 | 1     | 9.8e-05    |                 
 |   '--mitochondria                            | 1     | 9.8e-05    |                 
 '--repeat                                      | 3     | 0.00029    |                 
     '--mobile_element                          | 3     | 0.00029    |                 
         '--Class_II                            | 3     | 0.00029    |                 
             '--Subclass_1                      | 3     | 0.00029    |                 
                 '--TIR                         | 3     | 0.00029    |                 
                     '--MuDR_Mutator            | 3     | 0.00029    | 3 (MuDR-TPase), "	NA	"55"
34	9832	"NA"	"                                                | nhits | proportion |     features
-----------------------------------------------------------------------------------
All                                             | 2     | 2e-04      |             
 |--organelle                                   | 1     | 1e-04      |             
 |   '--mitochondria                            | 1     | 1e-04      |             
 '--repeat                                      | 1     | 1e-04      |             
     '--mobile_element                          | 1     | 1e-04      |             
         '--Class_I                             | 1     | 1e-04      |             
             '--LTR                             | 1     | 1e-04      |             
                 '--Ty1_copia                   | 1     | 1e-04      |             
                     '--Angela                  | 1     | 1e-04      | 1 (Ty1-RT), "	NA	"58"
35	9240	"NA"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 2     | 0.00022    |              
 |--organelle                                   | 1     | 0.00011    |              
 |   '--mitochondria                            | 1     | 0.00011    |              
 '--repeat                                      | 1     | 0.00011    |              
     '--mobile_element                          | 1     | 0.00011    |              
         '--Class_I                             | 1     | 0.00011    |              
             '--LTR                             | 1     | 0.00011    |              
                 '--Ty1_copia                   | 1     | 0.00011    |              
                     '--Ale                     | 1     | 0.00011    | 1 (Ty1-INT), "	NA	"63"
36	8218	"LTR"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         
 '--repeat                                      | 0     | 0          |         
     '--mobile_element                          | 0     | 0          |         
         '--Class_I                             | 0     | 0          |         
             '--LTR                             | 0     | 0          | LTR/PBS "	NA	"76"
37	7723	"repeat"	"                                                | nhits | proportion |                                     features
-------------------------------------------------------------------------------------------------------------------
All                                             | 4082  | 0.53       |                                             
 |--organelle                                   | 1     | 0.00013    |                                             
 |   '--plastid                                 | 1     | 0.00013    |                                             
 '--repeat                                      | 4081  | 0.53       |                                             
     |--satellite                               | 2475  | 0.32       |                                             
     '--mobile_element                          | 1606  | 0.21       |                                             
         '--Class_I                             | 1606  | 0.21       |                                             
             '--LTR                             | 1606  | 0.21       |                                             
                 '--Ty3_gypsy                   | 1606  | 0.21       |                                             
                     |--non-chromovirus         | 1604  | 0.21       |                                             
                     |   '--OTA                 | 1604  | 0.21       |                                             
                     |       '--Tat             | 1604  | 0.21       |                                             
                     |           |--Ogre        | 4     | 0.00052    | 4 (Ty3-aRH),                                
                     |           '--Retand      | 1600  | 0.21       | 405 (Ty3-aRH), 758 (Ty3-INT), 437 (Ty3-RH), 
                     '--chromovirus             | 2     | 0.00026    |                                             
                         '--Tekay               | 2     | 0.00026    | 2 (Ty3-RH),                                 "	"165 - Putative satellites (high confidence)"	"165,170,157"
38	7511	"EnSpm_CACTA"	"                                                | nhits | proportion |            features
------------------------------------------------------------------------------------------
All                                             | 866   | 0.12       |                    
 '--repeat                                      | 866   | 0.12       |                    
     '--mobile_element                          | 866   | 0.12       |                    
         '--Class_II                            | 866   | 0.12       |                    
             '--Subclass_1                      | 866   | 0.12       |                    
                 '--TIR                         | 866   | 0.12       |                    
                     '--EnSpm_CACTA             | 866   | 0.12       | 866 (CACTA-TPase), "	NA	"144,133"
39	7159	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 3     | 0.00042    |         
 '--organelle                                   | 3     | 0.00042    |         
     '--plastid                                 | 3     | 0.00042    |         "	NA	"85"
40	6873	"NA"	"                                                | nhits | proportion |          features
----------------------------------------------------------------------------------------
All                                             | 2     | 0.00029    |                  
 '--repeat                                      | 2     | 0.00029    |                  
     '--mobile_element                          | 2     | 0.00029    |                  
         |--Class_I                             | 1     | 0.00014    |                  
         |   '--LTR                             | 1     | 0.00014    |                  
         |       '--Ty1_copia                   | 1     | 0.00014    |                  
         |           '--Ivana                   | 1     | 0.00014    | 1 (Ty1-RT),      
         '--Class_II                            | 1     | 0.00014    |                  
             '--Subclass_1                      | 1     | 0.00014    |                  
                 '--TIR                         | 1     | 0.00014    |                  
                     '--EnSpm_CACTA             | 1     | 0.00014    | 1 (CACTA-TPase), "	NA	"90"
41	6423	"LTR"	"                                                | nhits | proportion |      features
------------------------------------------------------------------------------------
All                                             | 2     | 0.00031    |              
 '--repeat                                      | 2     | 0.00031    |              
     '--mobile_element                          | 2     | 0.00031    |              
         '--Class_I                             | 2     | 0.00031    |              
             '--LTR                             | 2     | 0.00031    | LTR/PBS      
                 '--Ty1_copia                   | 2     | 0.00031    |              
                     '--Angela                  | 2     | 0.00031    | 2 (Ty1-INT), "	NA	"171,129"
42	6328	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 2     | 0.00032    |         
 '--organelle                                   | 2     | 0.00032    |         
     |--plastid                                 | 1     | 0.00016    |         
     '--mitochondria                            | 1     | 0.00016    |         "	NA	"175,125"
43	6000	"EnSpm_CACTA"	"                                                | nhits | proportion |             features
-------------------------------------------------------------------------------------------
All                                             | 1264  | 0.21       |                     
 '--repeat                                      | 1264  | 0.21       |                     
     '--mobile_element                          | 1264  | 0.21       |                     
         |--Class_I                             | 2     | 0.00033    |                     
         |   '--LTR                             | 2     | 0.00033    |                     
         |       '--Ty3_gypsy                   | 2     | 0.00033    |                     
         |           '--chromovirus             | 2     | 0.00033    |                     
         |               '--Tekay               | 2     | 0.00033    | 2 (Ty3-RT),         
         '--Class_II                            | 1262  | 0.21       |                     
             '--Subclass_1                      | 1262  | 0.21       |                     
                 '--TIR                         | 1262  | 0.21       |                     
                     '--EnSpm_CACTA             | 1262  | 0.21       | 1262 (CACTA-TPase), "	NA	"98"
44	5996	"EnSpm_CACTA"	"                                                | nhits | proportion |             features
-------------------------------------------------------------------------------------------
All                                             | 1103  | 0.18       |                     
 '--repeat                                      | 1103  | 0.18       |                     
     '--mobile_element                          | 1103  | 0.18       |                     
         '--Class_II                            | 1103  | 0.18       |                     
             '--Subclass_1                      | 1103  | 0.18       |                     
                 '--TIR                         | 1103  | 0.18       |                     
                     '--EnSpm_CACTA             | 1103  | 0.18       | 1103 (CACTA-TPase), "	NA	"99"
45	5962	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"100"
46	5844	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"102"
47	5821	"NA"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 0     | 0          |         "	NA	"103"
48	5776	"plastid"	"                                                | nhits | proportion | features
-------------------------------------------------------------------------------
All                                             | 5776  | 1          |         
 '--organelle                                   | 5776  | 1          |         
     |--plastid                                 | 5712  | 0.99       |         
     '--mitochondria                            | 64    | 0.011      |         "	NA	"105"
