"Number_of_reads_in_clusters"	1737106
"Number_of_clusters"	60330
"Number_of_superclusters"	60239
"Number_of_singlets"	262894
"Number_of_analyzed_reads"	2000000

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
30	1	14377	14377	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
31	14	14160	14160	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Other"	""
32	2	14079	14079	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
33	22	14073	14073	"All"	"Other"	""
34	1	13913	13913	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
35	8	13675	13675	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
36	1	13663	13663	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
37	7	13399	13399	"All"	"Other"	""
38	15	13294	13294	"All/repeat"	"Putative satellites (low confidence)"	""
39	7	13278	13278	"All"	"Other"	""
40	10	13231	13231	"All"	"Other"	""
41	9	13222	13222	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
42	5	12953	12953	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
43	5	12937	12937	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
44	2	12893	12893	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
45	23	12665	12665	"All"	"Other"	""
46	1	12595	12595	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
47	24	12594	12594	"All"	"Other"	""
48	6	12553	12553	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
49	11	12549	12549	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
50	1	12313	12313	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
51	8	12234	12234	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
52	3	12059	12059	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
53	25	11897	11897	"All/repeat/mobile_element/Class_I/LTR"	"Other"	""
54	5	11884	11884	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
55	6	11425	11425	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
56	9	11297	11297	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
57	2	10964	10964	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
58	4	10850	10850	"All/repeat"	"Other"	""
59	9	10686	10686	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
60	19	10619	10619	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
61	13	10609	10609	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Other"	""
62	20	10483	10483	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
63	4	10441	10441	"All/repeat"	"Other"	""
64	1	10386	10386	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
65	3	10354	10354	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
66	1	10315	10315	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
67	4	10283	10283	"All/repeat"	"Other"	""
68	2	10210	10210	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
69	3	10165	10165	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
70	8	9917	9917	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
71	3	9854	9854	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
72	14	9772	9772	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Putative LTR elements"	""
73	15	9742	9742	"All/repeat"	"Other"	""
74	7	9547	9547	"All"	"Other"	""
75	11	9419	9419	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
76	16	9102	9102	"All"	"Other"	""
77	27	8997	8997	"All/repeat/mobile_element/Class_I/LTR"	"Other"	""
78	10	8816	8816	"All"	"Other"	""
79	3	8759	8759	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
80	10	8588	8588	"All"	"Other"	""
81	4	8522	8522	"All/repeat"	"Other"	""
82	29	8398	8398	"All"	"Putative LTR elements"	""
83	30	8292	8292	"All/organelle/plastid"	"Other"	""
84	8	8235	8235	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
85	2	8229	8229	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
86	32	7990	7990	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Other"	""
87	34	7681	7681	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
88	26	7648	7648	"All/organelle/plastid"	"Other"	""
89	13	7493	7493	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Other"	""
90	35	7397	7397	"All"	"Other"	""
91	1	7380	7380	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
92	3	7310	7310	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
93	36	7253	7253	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Other"	""
94	18	7124	7124	"All/repeat"	"Putative satellites (high confidence)"	""
95	37	7101	7101	"All"	"Other"	""
96	38	6980	6980	"All"	"Other"	""
97	39	6867	6867	"All"	"Other"	""
98	19	6821	6821	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
99	28	6773	6773	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Other"	""
100	4	6746	6746	"All/repeat"	"Putative satellites (high confidence)"	""
101	40	6347	6347	"All"	"Putative LTR elements"	""
102	3	6304	6304	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
103	20	6208	6208	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
104	12	6137	6137	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
105	18	6089	6089	"All/repeat"	"Other"	""
106	4	6051	6051	"All/repeat"	"Other"	""
107	2	5839	5839	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
108	31	5458	5458	"All"	"Other"	""
109	41	5296	5296	"All"	"Other"	""
110	11	5270	5270	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
111	4	5235	5235	"All/repeat"	"Other"	""
112	42	4820	4820	"All"	"Other"	""
113	1	4768	4768	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
114	1	4706	4706	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Angela"	"Other"	""
115	13	4668	4668	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Putative satellites (low confidence)"	""
116	43	4645	4645	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Ogre"	"Putative LTR elements"	""
117	16	4585	4585	"All"	"Other"	""
118	44	4537	4537	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/TAR"	"Other"	""
119	45	4527	4527	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
120	46	4514	4514	"All"	"Other"	""
121	18	4480	4480	"All/repeat"	"Other"	""
122	8	4427	4427	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
123	16	4366	4366	"All"	"Other"	""
124	12	4359	4359	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
125	33	4262	4262	"All"	"Other"	""
126	47	4252	4252	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
127	48	4231	4231	"All"	"Other"	""
128	49	3940	3940	"All/organelle/plastid"	"Other"	""
129	50	3762	3762	"All"	"Other"	""
130	51	3672	3672	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
131	6	3601	3601	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
132	33	3511	3511	"All"	"Other"	""
133	8	3201	3201	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
134	52	3176	3176	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Other"	""
135	53	3039	3039	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
136	31	2821	2821	"All"	"Other"	""
137	2	2787	2787	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
138	3	2760	2760	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Athila"	"Other"	""
139	54	2739	2739	"All"	"Other"	""
140	55	2724	2724	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
141	56	2687	2687	"All"	"Other"	""
142	57	2629	2629	"All/organelle/plastid"	"Other"	""
143	26	2494	2494	"All/organelle/plastid"	"Other"	""
144	58	2402	2402	"All/organelle/plastid"	"Other"	""
145	59	2316	2316	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
146	60	2237	2237	"All/repeat/mobile_element/Class_I/LTR"	"Other"	""
147	13	2063	2063	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Other"	""
148	61	2019	2019	"All"	"Other"	""
149	62	1984	1984	"All"	"Other"	""
150	63	1980	1980	"All"	"Other"	""
151	64	1932	1932	"All"	"Other"	""
152	28	1924	1924	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/CRM"	"Other"	""
153	65	1919	1919	"All"	"Other"	""
154	66	1917	1917	"All/organelle/plastid"	"Other"	""
155	67	1878	1878	"All"	"Other"	""
156	68	1863	1863	"All"	"Other"	""
157	69	1844	1844	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
158	70	1756	1756	"All"	"Other"	""
159	71	1663	1663	"All/organelle/plastid"	"Other"	""
160	72	1594	1594	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
161	73	1587	1587	"All/organelle/plastid"	"Other"	""
162	74	1554	1554	"All"	"Other"	""
163	75	1506	1506	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
164	76	1483	1483	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
165	77	1418	1418	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
166	16	1345	1345	"All"	"Other"	""
167	78	1319	1319	"All"	"Other"	""
168	79	1318	1318	"All"	"Putative LTR elements"	""
169	80	1308	1308	"All/organelle/plastid"	"Other"	""
170	16	1261	1261	"All"	"Other"	""
171	81	1234	1234	"All"	"Other"	""
172	82	1133	1133	"All"	"Other"	""
173	83	1088	1088	"All/organelle/plastid"	"Other"	""
174	84	1057	1057	"All/organelle/plastid"	"Other"	""
175	85	1029	1029	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/SIRE"	"Other"	""
176	86	1016	1016	"All"	"Other"	""
177	87	1004	1004	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
178	88	954	954	"All"	"Other"	""
179	89	941	941	"All"	"Other"	""
180	90	938	938	"All"	"Other"	""
181	91	909	909	"All"	"Other"	""
182	92	839	839	"All"	"Other"	""
183	93	831	831	"All"	"Other"	""
184	94	805	805	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/EnSpm_CACTA"	"Other"	""
185	95	796	796	"All"	"Other"	""
186	96	783	783	"All"	"Other"	""
187	97	782	782	"All"	"Other"	""
188	98	756	756	"All"	"Other"	""
189	99	752	752	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
190	100	702	702	"All/organelle/plastid"	"Other"	""
191	101	681	681	"All"	"Other"	""
192	102	676	676	"All"	"Other"	""
193	103	673	673	"All"	"Other"	""
194	104	641	641	"All"	"Other"	""
195	105	641	641	"All"	"Other"	""
196	106	613	613	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/non-chromovirus/OTA/Tat/Retand"	"Other"	""
197	108	533	533	"All/repeat/rDNA/5S_rDNA"	"rDNA"	""
198	109	526	526	"All"	"Other"	""
199	110	517	517	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
200	111	504	504	"All"	"Other"	""
201	112	503	503	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	""
202	113	485	485	"All"	"Other"	""
203	114	473	473	"All/organelle/plastid"	"Other"	""
204	115	466	466	"All"	"Other"	""
205	116	456	456	"All"	"Other"	""
206	117	445	445	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
207	118	435	435	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger"	"Other"	""
208	107	434	434	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Ale"	"Other"	""
209	119	431	431	"All/organelle/plastid"	"Other"	""
210	120	429	429	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy/chromovirus/Tekay"	"Other"	""
211	121	415	415	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	""
212	122	398	398	"All"	"Other"	""
213	123	396	396	"All/organelle/plastid"	"Other"	""
214	124	395	395	"All"	"Other"	""
215	125	386	386	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
216	126	382	382	"All"	"Other"	""
217	127	375	375	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger"	"Other"	""
218	128	355	355	"All"	"Other"	""
219	129	351	351	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
220	130	348	348	"All"	"Other"	""
221	131	348	348	"All"	"Other"	""
222	132	327	327	"All"	"Other"	""
223	133	284	284	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
224	134	271	271	"All"	"Other"	""
225	135	264	264	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia/Tork"	"Other"	""
226	136	260	260	"All"	"Other"	""
227	137	259	259	"All"	"Other"	""
228	138	258	258	"All"	"Other"	""
229	139	253	253	"All"	"Other"	""
230	140	238	238	"All"	"Other"	""
231	141	234	234	"All"	"Other"	""
232	142	234	234	"All"	"Other"	""
233	143	225	225	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
234	144	225	225	"All"	"Other"	""
235	145	225	225	"All/repeat/mobile_element/Class_II/Subclass_1/TIR/PIF_Harbinger"	"Other"	""
236	146	220	220	"All"	"Other"	""
237	147	218	218	"All"	"Other"	""
238	148	212	212	"All"	"Other"	""
239	149	208	208	"All"	"Other"	""
240	150	207	207	"All"	"Other"	""
241	151	205	205	"All"	"Other"	""
242	152	203	203	"All"	"Other"	""
243	153	200	200	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
244	154	200	200	"All"	"Other"	""
